date,item,quantity
2021-05-13,Croissant,42
2021-05-13,Danish,27
2021-05-14,Croissant,61
2021-05-14,Danish,27
2021-05-15,Croissant,100
2021-05-15,Danish,59
2021-05-16,Croissant,53
2021-05-16,Danish,28
2021-05-18,Croissant,21
2021-05-18,Danish,25
2021-05-19,Croissant,52
2021-05-19,Danish,23
2021-05-20,Croissant,19
2021-05-20,Danish,11
2021-05-21,Croissant,52
2021-05-21,Danish,32
2021-05-22,Croissant,94
2021-05-22,Danish,37
2021-05-23,Croissant,47
2021-05-23,Danish,10
2021-05-25,Croissant,33
2021-05-25,Danish,14
2021-05-26,Croissant,38
2021-05-26,Danish,14
2021-05-27,Croissant,40
2021-05-27,Danish,17
2021-05-28,Croissant,80
2021-05-28,Danish,36
2021-05-29,Croissant,95
2021-05-29,Danish,60
2021-05-30,Croissant,66
2021-05-30,Danish,24
2021-06-01,Croissant,31
2021-06-01,Danish,19
2021-06-02,Croissant,51
2021-06-02,Danish,17
2021-06-03,Croissant,53
2021-06-03,Danish,28
2021-06-04,Croissant,47
2021-06-04,Danish,22
2021-06-05,Croissant,85
2021-06-05,Danish,38
2021-06-06,Croissant,33
2021-06-06,Danish,8
2021-06-08,Croissant,46
2021-06-08,Danish,18
2021-06-09,Croissant,38
2021-06-09,Danish,23
2021-06-10,Croissant,35
2021-06-10,Danish,18
2021-06-11,Croissant,49
2021-06-11,Danish,27
2021-06-12,Croissant,93
2021-06-12,Danish,24
2021-06-13,Croissant,42
2021-06-13,Danish,23
2021-06-15,Croissant,46
2021-06-15,Danish,32
2021-06-16,Croissant,49
2021-06-16,Danish,17
2021-06-17,Croissant,34
2021-06-17,Danish,15
2021-06-18,Croissant,51
2021-06-18,Danish,25
2021-06-19,Croissant,110
2021-06-19,Danish,50
2021-06-20,Croissant,67
2021-06-20,Danish,28
2021-06-22,Croissant,35
2021-06-22,Danish,16
2021-06-23,Croissant,44
2021-06-23,Danish,19
2021-06-24,Croissant,50
2021-06-24,Danish,11
2021-06-25,Croissant,65
2021-06-25,Danish,11
2021-06-26,Croissant,84
2021-06-26,Danish,24
2021-06-27,Croissant,28
2021-06-27,Danish,10
2021-06-29,Croissant,50
2021-06-29,Danish,12
2021-06-30,Croissant,56
2021-06-30,Danish,5
2021-07-01,Croissant,53
2021-07-01,Danish,6
2021-07-02,Croissant,73
2021-07-02,Danish,12
2021-07-03,Croissant,111
2021-07-03,Danish,12
2021-07-06,Croissant,48
2021-07-07,Croissant,42
2021-07-07,Danish,10
2021-07-08,Croissant,42
2021-07-08,Danish,10
2021-07-09,Croissant,71
2021-07-09,Danish,30
2021-07-10,Croissant,108
2021-07-10,Danish,57
2021-07-11,Croissant,68
2021-07-11,Danish,29
2021-07-13,Croissant,60
2021-07-13,Danish,17
2021-07-14,Croissant,48
2021-07-14,Danish,15
2021-07-15,Croissant,26
2021-07-15,Danish,11
2021-07-16,Croissant,57
2021-07-16,Danish,23
2021-07-17,Croissant,99
2021-07-17,Danish,31
2021-07-18,Croissant,46
2021-07-18,Danish,27
2021-07-20,Croissant,63
2021-07-20,Danish,6
2021-07-21,Croissant,46
2021-07-21,Danish,8
