date,item,quantity,day_of_week,day_of_month,month,year,week_of_year,is_weekend,lag_1w_ago,lag_2w_ago,lag_3w_ago,lag_4w_ago,lag_1y_same_week,lag_2y_same_week,rolling_mean_operational,rolling_std_operational
2021-01-01,Croissant,0.0,4,1,1,2021,53,0,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-01-01,Danish,0.0,4,1,1,2021,53,0,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-01-02,Danish,0.0,5,2,1,2021,53,1,0.0,0.0,0.0,0.0,30.3,30.3,0.0,0.0
2021-01-02,Croissant,0.0,5,2,1,2021,53,1,0.0,0.0,0.0,0.0,54.09,54.09,0.0,0.0
2021-01-03,Croissant,0.0,6,3,1,2021,53,1,0.0,0.0,0.0,0.0,54.09,54.09,0.0,0.0
2021-01-03,Danish,0.0,6,3,1,2021,53,1,0.0,0.0,0.0,0.0,30.3,30.3,0.0,0.0
2021-01-07,Croissant,0.0,3,7,1,2021,1,0,0.0,0.0,0.0,0.0,54.09,54.09,0.0,0.0
2021-01-07,Danish,0.0,3,7,1,2021,1,0,0.0,0.0,0.0,0.0,30.3,30.3,0.0,0.0
2021-01-08,Croissant,0.0,4,8,1,2021,1,0,0.0,0.0,0.0,0.0,54.09,54.09,0.0,0.0
2021-01-08,Danish,0.0,4,8,1,2021,1,0,0.0,0.0,0.0,0.0,30.3,30.3,0.0,0.0
2021-01-09,Danish,30.3,5,9,1,2021,1,1,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-01-09,Croissant,54.09,5,9,1,2021,1,1,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-01-10,Danish,30.3,6,10,1,2021,1,1,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-01-10,Croissant,54.09,6,10,1,2021,1,1,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-01-14,Danish,30.3,3,14,1,2021,2,0,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-01-14,Croissant,54.09,3,14,1,2021,2,0,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-01-15,Danish,0.0,4,15,1,2021,2,0,0.0,0.0,30.3,30.3,30.3,30.3,0.0,0.0
2021-01-15,Croissant,0.0,4,15,1,2021,2,0,0.0,0.0,54.09,54.09,54.09,54.09,0.0,0.0
2021-01-16,Danish,30.3,5,16,1,2021,2,1,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-01-16,Croissant,54.09,5,16,1,2021,2,1,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-01-17,Danish,30.3,6,17,1,2021,2,1,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-01-17,Croissant,54.09,6,17,1,2021,2,1,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-01-21,Danish,30.3,3,21,1,2021,3,0,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-01-21,Croissant,54.09,3,21,1,2021,3,0,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-01-22,Croissant,0.0,4,22,1,2021,3,0,0.0,0.0,0.0,54.09,54.09,54.09,0.0,0.0
